;;;;;;;;;;;;;;;;;;;
Encuesta;Periodo;Indicadores;Nacional;Área;;Sexo;;;;;;;;;;;;;
;;;Total;Urbana;Rural;Hombre;Mujer;;;;;;;;;;;;
ENEMDU;dic-13;Subempleo;809.269;477.717;331.552;490.630;318.640;;;;;;;;;;;;
ENEMDU;dic-13;Subempleo por insuficiencia de tiempo de trabajo;654.050;395.291;258.759;373.869;280.181;;;;;;;;;;;;
ENEMDU;dic-13;Subempleo por insuficiencia de ingresos;155.219;82.427;72.793;116.760;38.459;;;;;;;;;;;;
ENEMDU;dic-13;Empleo no remunerado;493.182;187.999;305.183;146.266;346.916;;;;;;;;;;;;
ENEMDU;dic-13;Otro Empleo no pleno;2.019.279;1.120.868;898.411;1.173.023;846.256;;;;;;;;;;;;
ENEMDU;dic-13;Empleo no clasificado;14.463;13.558;905;8.393;6.070;;;;;;;;;;;;
ENEMDU;dic-13;Desempleo;288.745;229.018;59.727;141.721;147.024;;;;;;;;;;;;
ENEMDU;dic-13;Desempleo Abierto;205.127;173.716;31.411;101.732;103.395;;;;;;;;;;;;
ENEMDU;dic-13;Desempleo Oculto;83.618;55.302;28.317;39.989;43.629;;;;;;;;;;;;
ENEMDU;dic-13;Desempleo Cesante;168.649;142.307;26.342;90.531;78.117;;;;;;;;;;;;
ENEMDU;dic-13;Desempleo Nuevo;120.096;86.711;33.386;51.189;68.907;;;;;;;;;;;;
ENEMDU;dic-13;Población Económicamente Inactiva;4.247.385;3.007.576;1.239.809;1.244.942;3.002.443;;;;;;;;;;;;
ENEMDU;mar-14;Población Total;15.935.761;10.776.249;5.159.512;7.875.233;8.060.528;;;;;;;;;;;;
ENEMDU;mar-14;Población menor de 15 años;4.697.080;3.018.245;1.678.835;2.445.890;2.251.190;;;;;;;;;;;;
ENEMDU;mar-14;Población en Edad de Trabajar (PET);11.238.681;7.758.004;3.480.677;5.429.343;5.809.338;;;;;;;;;;;;
ENEMDU;mar-14;Población Económicamente Activa;7.048.410;4.767.297;2.281.113;4.258.294;2.790.116;;;;;;;;;;;;
ENEMDU;mar-14;Empleo;6.706.314;4.501.505;2.204.809;4.067.946;2.638.368;;;;;;;;;;;;
ENEMDU;mar-14;Empleo Adecuado/Pleno;3.206.080;2.616.012;590.068;2.124.705;1.081.375;;;;;;;;;;;;
ENEMDU;mar-14;Subempleo;890.360;517.872;372.489;567.672;322.688;;;;;;;;;;;;
ENEMDU;mar-14;Subempleo por insuficiencia de tiempo de trabajo;706.156;415.940;290.216;422.298;283.858;;;;;;;;;;;;
ENEMDU;mar-14;Subempleo por insuficiencia de ingresos;184.205;101.932;82.273;145.375;38.830;;;;;;;;;;;;
ENEMDU;mar-14;Empleo no remunerado;497.262;186.701;310.561;147.482;349.781;;;;;;;;;;;;
